HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"opnTGgGvKBkhLnZCCYZdUNSEsffAdCYUnjCHseE","PzTYUlYVRDBRIhGbQusnUcVMlXKzSjVKjX/BCAE","J09B5434","J09B","ffvuRWyNcRoSuQWwuAMuZShNTAVFLQhmkCzBkSV","Halver","Buschhausen","8","58553","T/STQHrWFuahL/lZLUmpAUn+ZalSU/ePXQRSuAS","KSA","Standard nach Anzahl Stromzähler"
"UBoGhRMQPbfvVIpHLfbgiRbqaTYu/sUZTSTJWJY","LPZS+ESGGQlaRRkgFgmfEJYQZ/UUpCoiVUzMxbx","J09B4011","J09B_L","wZJ+TgAOWjBkXOkWjXcSxKhOUYwUzQlQkYfycVE","Lüdenscheid",,"28","58507","gaBoxbNtevAmTrCvaqYScySWCvlWsQXLEvCnqYR","KSA","Standard nach Anzahl Stromzähler"
"twiLiuqkoYFXlQnJVfDZpDJxeVFtZQFFvVnTzVJ","RnUwCTULEG/WWnZSoIqjnRY+XXOwAFcpQpUUkDU","J09B6205","J09B","/LnZZrmCYZsZFRSlUTQQsOGfsEUQAHoQoYvQjUG","Plettenberg","Plettenberg I","5","58840","SGHuUj+OXnLRl+UtWQVZlTHTNpFQTExhRYZqIjl","KSA","Standard nach Anzahl Stromzähler"
"oGTZIzTsCbMBqfVB+/Th/UUtQtNqdyTWTChaKik","wwEqXKDwWSOVJAYLjmHCm/ViBiG/OYPFNuYGSsD","J09B6501","J09B","tFAZSDOlwERbeWSTmIUKJSXJJWABBWwOxRs+nqe","Meinerzhagen","Meinerzhagen","35","58540","s+EtVakfAVvuRxSiROMWcwbJGHylYyLEiRHRSyU","EVU","Standard nach Anzahl Stromzähler"
"VBgBcmeVWKWMeRTAaGmXiHthaZXGqwXZXigZkom","JRgOKYOvrSnXYWVvRVZYbZbgI/SSwAzr/X/CUeQ","J09B1611","J09B_J","/mGnOVbPYy+Y/ZiQYfIkSYlyc/EIZTjhzHsSsXp","Hagen","Boele","22","58099","cUWlUhmepgD+ALQV/YFZAK/DTEhkQdjuUXbtVD+","KSA","Standard nach Anzahl Stromzähler"
"doUSewphRHqNGcHXRQaKEPYZySQZGnDFSHQyfYC","InILReJTnLDgDpWaSEpuVpKgTzSZxaaV+jqbjCH","J09B4011","J09B_L","XAEqXQnXJonSOyVUScSqYE/iayWSVXjhKcRTVDX","Lüdenscheid","Lüdenscheid/Stadtwerke","16","58507","WdaTfXgWjNQUWqUYIoDFsRlfvYrJmZiTTPqagFv","KSA","Standard nach Anzahl Stromzähler"
"eCRLgUyUaJakuZhWYYSLFyRphyHPNykATfFSClG","CQvJUjSrYBLxrUNgPQtuPVpv+JJityUWbWQFsgQ","J09B1541","J09B_J","iAAKvPktvVXXoZUvGWWlByCpSrlSHQaUeBbLLuG","Hagen","Altenhagen","22","58097","rVYHHQZKYvVQiZszXLEVWCOxFDzGdajRWOYUPWU","EVU","Standard nach Anzahl Stromzähler"
"UrxUy/YR+WuYlSGCXr/SwihgTCRRAHXBHVHXxWS","WIeHCWOEpQofskBAoBMgeVdvhPToiisNmPnuSJx","J09B1531","J09B_J","OSWpSOv+jorUhTuyuYMActoKDRrVurpoKqCKFEQ","Hagen","Ischeland","118","58097","Z+YzrzcsjQpKTkfHhtZZiwhWrjdcqVYNHXzJslR","EVU","Standard nach Anzahl Stromzähler"
"EUdnVQHVMHJgNFVQudd+lNtJYKDJOagYbCEZLVZ","YGWBJYEnwPrBVQGSMqawKCWXdDvTeUXVsaCYXuA","J09B5434","J09B","XbLWRFfTQxXiBfyWWzVRkQDoSSlOpItV+IJviYW","Halver","Buschhausen","1","58553","LrCGNUognZ+AbTdOcXExOqncg/ZFRbQKMMwlGT+","EVU","Standard nach Anzahl Stromzähler"
"KDcfVfrlqCutCXpJyOAtlRJVXoJATGIRcKXEIlQ","NGIUPJXtBFBggcqsEymhpjTjSqWIhsTjVvyMQVi","J09B6501","J09B","nrt/XmTiTrYYTN/REznBxTRwXeGxGorNcfLJyXZ","Meinerzhagen","Meinerzhagen","11","58540","UuPQeQ/SZUggkLIEDKIbcKRAfcfHZvtDVRJUGIc","KSA","Standard nach Anzahl Stromzähler"
"aBhhiTcPURylUsPPpLzxUfcAODWTeRnWJmHRBZH","rkKnySYMYWdSATPWlcZfBuoOEJgybKNhkSjJ++A","J09B1612","J09B_J","GltiVwtYctnUWyQrEZ+QxZtoTUsVXgaOBhY/lUD","Hagen","Boele","36","58093","MSPFJSWbkMvnQxvzRToitQRM+QtNEPUUMJ+hIHd","EVU","Standard nach Anzahl Stromzähler"
"olBplkAWYMbZdiDKXjMQuukALnRoRWfgPBwvftV","XDMuhmQpWcH+RPX/UFqmNUlOVmgb+w+kNqKcLyF","J09B6251","J09B","kxntPjXuUVlZeQcojyUlWhvWwPJnTNAEgqCWdMx","Plettenberg","Bremcke","12","58840","xhgYcOaOPxL/SkXgShMmpLssvfVVZVCPQs+OhFV","KSA","Standard nach Anzahl Stromzähler"
"YWFeZJBdo+XrUkbnyQVKnZOITMDVRbYsFG/UbFl","NVQVeGDIgrNhkZVSJ/ZQNEXWMcthWGrvHQaeRB+","J09B6205","J09B","WVStbz/ARCugXQpSFOIMVTXZAVSUfALCptNYZwS","Plettenberg","Plettenberg I","6","58840","hnSfJaDlSiVmpwZXiHy+nSpRuNJIpFMVUKkPfeX","EVU","Standard nach Anzahl Stromzähler"
"EZRplEbUFimtHueEMPkRPlUuEZGYWGRV/xBdiqM","OHoIbLaQtbWjQmhrSOWFaOWUWBAXYYNfSnJpTAV","J09B1701","J09B_J","rTTXHUXN/bKNDRQlOfo+sqPlYLKZWcYtiEgynWJ","Hagen","Vorhalle","16","58089","XVNJWxWYRVtrHjnFArYQxozDZhZZYXdVToZx/lY","KSA","Standard nach Anzahl Stromzähler"
"wgZcTXRBOuouYRyorZUNN+HuTSrZBQUJwbvSqiR","OZnXDtDYrneRuxxpSSEdNQaUNMPtVXYsIPdNKQc","J09B4011","J09B_L","DR/vZOBSxVh+R/aCXGebcDRbIEUzkao+cSMWDIQ","Lüdenscheid",,"31","58507","yfRqnaIZizBVRIhwbbXVQSZSGMncWYLPrsYjJEy","EVU","Standard nach Anzahl Stromzähler"
"akTQAuUQvbuWIHCuWOLSZxfPiGhBEHI/UdEWVWG","PD/WjjohXUR/toITreIPGbvhpZHkAUrVPStrshx","J09B6201","J09B","nPjkXFFQcXQW/BMiDVqTIJJehetFl+xIVouMxFW","Plettenberg","Plettenberg I","21","58840","kOUnZ+PdPXfFMbWEXgRZSlEeAuOVPXWOhWjWNza","KSA","Standard nach Anzahl Stromzähler"
"RTiTSQuLPYKR/DFZlZ+DYV+tRbsbrCgJCorjZWd","qGWr/YawnThHNEZkUExUcWgzRsTUKCQGRyCNEyj","J09B1531","J09B_J","TpPkQgtcqbqBvUfVXzYSrsURUOUVYEW+oW+YZ/p","Hagen","Ischeland","98","58097","NWttItttxQhcmQVJCcCRHLcYhQcaWyhMgSrrJTC","EVU","Standard nach Anzahl Stromzähler"
"vwgKsHTqpbQroRXgjTikWMzeWMTRgeOdDDS+MSn","VCVOCMUZVhhWScMYjCI/uRPmLyVxYsbWZXOZYst","J09B1701","J09B_J","ZSIIaxWw+uTKsSzohVlgQQzfXRzqpYTTrVf/paX","Hagen","Vorhalle","30","58089","VhYBJ/b/VRuUaxElSgMtdBdMNKSaUBkoOeRTeEU","EVU","Standard nach Anzahl Stromzähler"
