Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"MWAvyFQaWZPnJmfNXWTqWWuKWktUYMXUJZTXZUf","WAEP",2020-01-24T00:00:00,2025-09-09T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","fSWtXStWkQMqlBY+tJsbkDzaSZQzsYaKWUpwIJi","fSUjWWcHhsCdwkfBTobudQTLzcaxRVxX/gxxgLv"
"UsRQLsXLJUYLTZqjgDBShEwJHEXasTurWKRLeOT","HAUS",2020-01-24T00:00:00,2024-12-12T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09C3401","fFQQbgTlXyuBSsNiTRdIVQGRqGjaPmqNeWQkVxc","QKbpkQOLqUCJsCQTCU+wYyfM+/dHRRV+JQmUsqB"
"yZkYGxVWQ+VhvZSZTJWTIzgbGSYkAmqcmZKFGGO","HAUS",2020-01-24T00:00:00,2020-10-09T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","neZahYttQSWMESRMxaHVTvVmitp+IZHLdNrJZuy","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"UXq+ZYPZFfBSUbRCZPUvWEQVNQmp+HL/UuAOLfc","HAUS",2022-01-26T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5482","MxRDOQXQU+dcmmxoJsWRun/TLUbFXSaPXPcqmyc","Vca/YmeUZWIzAictik+XNlAWZMquoeHDXfWLcON"
"TQbwSFlZYHFADhMUzghAWqdWQwYSjVSZKBXtGAm","HAUS",2022-01-26T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","QUqT/gJGeXGVgZnUjRapUQoxWw/egP/RcLRmStN","wVIoLfcFmVQQUZBaWWSPDOgVeyJJochwS/vBwSD"
"YvWZYcwQDDtWsWRYlZmlWYtSNfeUmUeucRJWqTg","HAUS",2020-01-24T00:00:00,2024-04-10T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6504","GcSWDeYTyRqJpNTOanEGJ+dfXvH/Fq/+KCVliWO","wyVkxtTYKHnmTrXmnZzQdeBdUpEUfXWuheBaCdq"
"EXIIpmG/WWviWUEDGKyXaKzUnJOgsKoSHhDILkP","HAUS",2020-01-24T00:00:00,2020-03-18T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","KKA 700","Grundstücks- und Wohnungswesen","J09C1622","moudOLlNSjWQBJOr/pDnnBKaSFYZvFQcrjciT/g","IMWhVnYQUV+iYKbRCwxuojMUAfTuXhhqhMgcZpj"
"GNEYvTr+eVjmZZBNtUvOUbWnSUAfkIISOXTUfLr","WAEP",2020-01-24T00:00:00,2022-06-21T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5485","FyGUNpsVQBEtegdZdVpRvWr+WSDJnOzlcLJRFhg","RAcWJkTxgPFzyoiSKLXmTUXEsMGfZoUYFkPofuC"
"kRWZOlqJhxfCSvYIOnqHmorlTtXHVADdsGijSHD","HAUS",2020-01-24T00:00:00,2025-02-05T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","gefdSDpZvjwFQIqWKuDmRWRlnFMHnYaFHFcNAoB","yVmzZjlYykSZepA+vTQxNQkTmwzXONgOQQpZtLA"
"qCkgmgMNTJiTEUrz+ybJlXRVWgtuDsNICj/UJVR","WAEP",2020-01-24T00:00:00,2024-08-28T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","fUFWdQZKWsfbBQbyYjghPhaHtfCKmBGfwMKnUGc","xmTFseeruioVsnwiieFIWlhvNZoNaBTqvjTFIZW"
"gVOcQaUSvfEIkUSKyBUTpSNLSCTuYWedxXStdE/","HAUS",2020-01-24T00:00:00,2020-04-27T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","JAIxeNXMTYUgXVxqWuiTZbXJvwqnDgrWdcCXEiT","avTSEiYWWqrPOjTalcvVGMjJpHXgtrtLUSbBWpX"
"/CjZXcyvFrFYXgPnIOvVJecSUu+fDnlkXNhxeXc","HAUS",2020-01-24T00:00:00,2020-07-20T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","qbnUkfHXbqCpYyguewnSXcKULgTe+JhuIzemSmV","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"nAZbeHRyzp/EbZaQWAjSUqYHQoEYUGuSfjMZnBh","HEIZ",2020-01-24T00:00:00,2023-12-11T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1622","KrniYKcxDvYsVSicByXUSiKZYJf+cfusOlRZ/SW","UeRgBvZSXRNzYSS/bVQR/vTfVmaZOxgT+yHs/V/"
"jZFhAkrqoWwCKkyPU/nbXaSCZZdhNfUsXRWyjkZ","GEWE",2020-02-10T00:00:00,2021-01-26T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","NVYgEVfxXpxDBUmXaJRTysMnrIHkvAbuZQVS+TS","TUnFDUK/YzS+Wfzz/OID/GBfJQDoRTfmq/SmzUQ"
"Qrrm/ZRCQsjWGTTXDTBfDQNiTcwxwciLgtVDfJQ","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","wUuRNqZ+HZbQSFRNmgFwGOUWQNwbWuiwSAgKmnV","LGlGKLreJkDtwo+zkzsKqzBy+hYiRRRSERuqNEh"
"IDAOPenvRfYBMSVscTYzW+yAcKXLXQoiQthhzSt","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","yYnSPFWBmxSuWqy/ukwTZwHATazTqXABYJcSSPS","fYqWEtK/QteYXQGrZqYTxrQPtSrAmkMoCtGxsMh"
"SRGvMoA+dWBCfQ+VfE/QvRVm+HzaLDnYTFeTwfi","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","'+pJTTTmQRQzZazVrhEVeLg+egeXOybYoZiSjUDv","dYRatPjxGxJvUjruQWLSRanU/CGnSQYQlNGYBGQ"
"HGafRWdgGISwwPOZXcKAQbExUt+GAczgsZkzQVW",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","VEMUJeXkRDtIoBjYkKz++yYuGeY/YaHLmRegnRZ","sKIy/CQ+jmqQmWVgXNWZNjMVVvg+ywonDReRSyS"
"jdXAiKSoYRBcJfweWVyWOmXNIQYurSRjURPFncj","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","uSimXQRUCIEmlvMJXyZrFSUS+OYUJIZdTyZC+LX","dYXtuDRtkzYHYZVLNDCDEeZiZGRYHhZWwY+FwQ+"
"aBTUAQmgZPfHxkdFQuQo+RUpMYdsKRWYmyyWddq",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09C4011","xseLJKmprYhaMnpoeYiUloAOWpSESXBeRgh/QTZ","rHwepOQzxSgKApTeFEqQfYAUfRbTdtKWDQyYQxg"
"RbYFNYiXplQaXjlXoBcXzI/XQUQII/lNwWCuZHH","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1622","pQfQfbTPVhPCdRKUgERZ/yiZXONCMsOw/DfDjhz","UeRgBvZSXRNzYSS/bVQR/vTfVmaZOxgT+yHs/V/"
"eStsXRZumKlxSnTqETbUQeZd/+uuwGCedpSnEQH","HAUS",2020-01-24T00:00:00,2023-01-09T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6504","NutZncDyXGEbiUsZTKKAwbzCZSNSSUmewMx+mKr","/KTAZUJLoGQSHbblaSVQTTyAZZZStUpDMvBTCyL"
"IQ/zuvZDPPkkpYRTRiXmO/XPPautvqUgMiWGyHy",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09C4011","iwsUfnbsMuqTCbqoSfbZlgJKLcWGHiRUcNUtQOd","BhuNqnYIUSxjSlrOqWruxbRVVEIwJQlmGSzYUz/"
"YPzSgDHtNTaXVgUhRZyseUeKANlCXrRNpgZlbTM","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6101","ycsSgrRvhQpU++dUQSKTuqqZHKYnWvgiVWRGmGh","IT/hfXXdZbTJlQQnJZ+mlhTFSjRRezWsTvhRrv/"
"MoyWZizaqfMd/+RiMUoGYSZMS/duDOQRw/HSRYP","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","TqhpQnbZVvSMVJbMmVKtKSYwuXoRelJ+JXQUWVO","GJEIODhgQHwHZtkYhWePqebZZltRfUYptjmMgGK"
"tqTdyXkmAzxwtUhRgFxXkWInBarhTFYMWRQZnYT","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","uXvBHWTxGugPiiJdBuYaSAXRZ+rbU+fp/HWxKLb","iTXVT/Z/AKYezpsPAuFYCzWJwNnaVXMwhuZlizg"
"uQSUXTEBTzQiUqAbTT/YTeQuXDWMHHmOgTAmZXC","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","grYamQRQQUlTzuojUlTfUZrnWyd/eapmxqhWZNM","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"zjfSeNiyynQn+jYQkutVEDtPAvQNnvRnLodigpE","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","xkXJw+syLpoozZUgRAopahkVpHYURHFkkiqcXWV","vZGiJEuUUYfgdtTWD+sQeT+ZIYfPWuZQFHqPjXZ"
"mRZq/iBNXVZCbzDXVCueXSKDDpcyzVuJeqTsOxw","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6103","QwUWEMnpooAXcAXIFQTc/KTmZiSTNQgQq+ApUjs","ijLeVcuyhsFbvOPWmXFfAj+wRjMiVYSqVN/DJmf"
"BTZYoTeevMspYYAEjzFtaTTijXRBGnWQRqTRJeZ","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6104","YTbkQCPJRkTfrItLwSQgzzOHhxULOpXxIiZQIXJ","qvqiWDWKyQEZPBIkqtxq+dSKUnQTqTRlChXAXFy"
"FWQZxGCTDpdeCxPEQQRJjuHIi/QtfZQiiVLchKX","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","TUidwNnUY/XVbcblGXiWUSoCURT+jXVjZesSEmA","WsNPvWVj/OcRaCbJkClSXrmULcCVWXUDawUIX/P"
"GfmKbeVvWaDAKRNGLHRRynSTIZXKvFhVteDqFxh","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5484","sD+PyflxkCYmVockkYRTmXUdgEuLjetYkyTPUVS","vYRtsJMTbsliXOSXT+K/DKy/RLSQTEYUQubxLUY"
"TXZaVODRPqUSRZuBGLgbUJyzebshDFURAdcVjYW","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6103","qGSMxMBPDdXzEBvg/hmoooWXZATCHWpwWxxSPHP","SBUJBLkQQISekKQXjrtvtVwWKtLKHpSCbRYHIQv"
"Qm+itKHVIvguFyCspTNvpTQZlmwmUdDAWsGxXcW","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6504","Q/yyyiGHEQmqNQmpxVNamHKHeLARvUrTxDBWRoq","LWGXfF/EHlgmBbNjwTWONjQqYjQXdVlUJYXPISX"
"HdbQHCQFZ+dVydWXBHvsSxOtvAhiHwsmvBGWJfO",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","acPUjSrJemNnQcTzWOsiyUADUsaqvlRosZmrA/q","NuegFwaCcvncUvT+yvD/VxUFkNABQcT/yPwwXKM"
"QABthWSsCooaYYAQgjEJOrfjKJtMWIFGChnTQVW",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09C4011","EzUmnzVHmqSGuKfbwFZWTRATtERAWRXPCXi+mSu","HTQXkE/dWSTPQoFXNYgcElUVgYWQRZRoTqjZjUX"
"baYzFSqWzd+HSxXZOHvsykVjuNWviQEWz+HypIX","HEIZ",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1621","xRUonrPIc++HSYvneasxXc+pVQnVnYtTyZTIRXa","QpyT+yTQTOgsVsxWfzoB+pBUlXzYsZZUIfdWvRP"
"tYvobKICTsb//hCJWdptcSAZVXyRPRdhFTtqnju","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","FlDeNcRSTZyAalPfaNQHQCFXlrWVF+jwbgrjZKU","vBamHQZRtGkaIyLQvRSKBnYm/WWPU/hQKyBxrdU"
"jUQUZYGlDOfVSUvkTZn+NEuOedHYbYWayTQUvED","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","QhtqCUDhXXSnQSUeihbtoZxJzPgVhlTDtfzxElU","wPBInfHwTuLhdxugZdfgYVXTGYbqRrixNJN/m+e"
"TXSLGSgfMXnwSWGTqXLWRJOyIWlSRYRWdRS+ZCX","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","HvYhgSHsrqUTThnpkRxHExCZBxWWTZEp/ZQJdBL","JTWtYHWWPdlbhitRzRrrSfEcCVNWrlkVPWxREXJ"
"bSWUVTpUpRQqdEyDAHVScjGXoAUqrKLBXQWjNoQ","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","jEUkREXJcXiWZpTiYJNerGXLfOyZApgopnfCQIT","F+LlWuQUTRYf/OenPAYNUIYmYSDmFMTgYbHTGRj"
"SQfWGguXuWYzOuNXLWxUMlSdWpRqNvvpNHFiyjL","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","vRnffgSsTUMxUSauYXbftrsOSXauZuMjwWMb+JW","yjf+qAADohfywDnYfTlsSTYrCQOvrhCklxrZMIj"
"LxYgifUQsToifGxXizEeGVTreY+OJnqQgZHJMzB","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","QNoZxsYWYof+RdDRXJWCoWVdyHhbnZnUJhWkCSL","mHRdYfYVWJlpkZn/VlJWWsBWYgYwr+PSXSYYMcX"
"Mb/dJPVUUsktbwMrORKFNHfmGbkghSRPFLXNdQ/","WAEP",2020-01-24T00:00:00,2024-08-29T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","YVqPzZlTpVtuvOmhVnROMJrcsRVBCOvGezcWaYI","jxgZ/uilqCVBFYZhAqmjZofzXtOKMny+RUQjcwV"
"/NUxxUdVZQvwnjNxUsBFXSBYlUVNdgwrBYAHjkI",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09C4011","SmVpegeV/tLoCpLRSh+TQHJDdyHpgrURcjgSSQg","ozccUBXAZiWI+XSudfYYUWDFZihlYZVSvdNVHRJ"
"zJCZIHRQmsnqhqvClIgfdkWRtcPSdEZwjjRABbJ","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","vzyaIjsDRmnaBAGwYTBkbshV/hUhPuVQVYdpLYy","lVX+tTUILZnHuup+TJPVHhStPxnxbMgUPclBTza"
"DTrFeaa+rgfSJyPthsWKC+ODTUPBkjSxPX+RaQR","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","hRegfFEhIkDBgFVSMkTuuYOZiRXloYTkWVLlhYV","nTWTzTRMO/AtmopFgRPIJgoKpRV/rvPryrpARXQ"
"wRUjyDfvvSgKLnLFdWfdbZFIMxTZZYVaRLLeeOY","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","UsVTM/Z/OTCDYPsVFmTLTk+xKqatrAk/dWUeWEU","t+YQsmZOeiZvTjKCWUNyLorYPWSfAEmCwlVpyOD"
"YyUCfGDbhFTmHUVNSnZmQVVlyQKCKLJLpQYWDph","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09C3401","ZIhwFIqfxPEWnjYka+TSzFHaeSrDPamJVWernAB","OC/eQSXTIKVaxZangHLEa+rJeKQaYSoXdSQSfXm"
"ybpUhfjJWlHRYpLXVtYPwpOSWUM/gyELVmUJBU/","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1631","wMORdz+QCAURaudeKuSfnoVYtbMlFeikZ+WXHZQ","PRYZNHRzYUisWPfFQFuceXNR+XLWTrRuAVeNYBI"
"WinYCYRXy+AYSTxLQGWSBogKLzYBJSkXFRpLlae","WAEP",2020-01-24T00:00:00,2022-06-24T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","SWSWCLTownuWAtXDTUViexCMzWWFShfMQQaMMcK","l/GFPTjqXtHtzca+JBOzQfRmVRZwXCyuzaIgjUz"
"KHySSRWuEW+xAudZkRWOdvSYQzPrVhxuXwHUbZ+","HAUS",2020-01-24T00:00:00,2022-01-10T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6102","nFmtnpmg+eWiYVfuYUTOJRAZeJJtqiQElUfWVaU","vopOKFqsVLSTfjoVTPnWHs+mJAw/FcUIHXdWftm"
"znrbWw+PUTeKSDCiHxERTXjZRTLcTFVwoTfaMZk","WAEP",2020-07-16T00:00:00,2020-08-12T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5083","rMOHLR+psQCqtraADefwaeOKDxoYiQUNXsWvKFQ","diQwGQRVjVCBSufShNwOBmaZb+wxjVUZnWZhHWt"
"YXdSTsabbZQkJKXHTcZZZGmXDgaHHWFFZVmQhlU","GEWE",2020-01-24T00:00:00,2025-11-20T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","GGA 539","Sonst. Einzelhandel, Reparatur von Gebra","J09C1621","YTBwkUHSNXnmruEIy/JQQVqNaNARORH/ZKrcRrq","gQkpJI/NwhPBVRbZetkVzoRkUArpUWWFYqQZTBh"
"XD/NYQcsOVVcWgYEPHizuyNMd+nfvYsZnTHgZVS","HAUS",2020-01-24T00:00:00,2025-05-14T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","fX/KmUxZuSpnZOSPTiRpdVXfdfCEKnWQDuskQSn","escVSRlcCNpGmfUAAdQnlVkDN/itWaifkcKIhyR"
"WWDHkQkDX/FwaSXDXUZQ/QZRsdYdZm/sQNrxhSM","HAUS",2020-01-24T00:00:00,2022-06-29T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","eERnRTSjmWyUKPLqOymXnUWA/YJoJla+mhRxMCx","SvrU/UoUhlDuS+SWpTxVTOqxMEPVnraXEgQNUF/"
"VGGe+XlX+ZknGukNTCUCZXfIopHRehSRZVyXZXY","WAEP",2020-01-24T00:00:00,2023-07-18T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5083","XQIRCSBQbquQhQ/UHKwQYFMotRicqHWEYbOZVTD","dCqeuWfCSVnjPF/lZY+FRWZORV/cfVMO/CmpQjy"
"rRo/UxBGRwYSzRRhP+uUqDAWbtwVkDHAiUwxfXg",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09C4011","x+iRBcgfsVdbWrNQKMpUFHUXhkQrSOkQUlE/bpE","EPjsNDeGSRggmcSxJFptnSRTZNQQkcEhKgJIMOO"
"/TfkwALKKjJWNotLW/tSIKJHSQPLvBqyUySpTn/",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09C4011","rxAQYuZUGYFwDSAytGtEDhkRyYnXpWJY+TpXNEe","QRBtgHUzATUJelpUJVmyydRppXaFhrGReDTXRFk"
