Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"BMXdiQWJDdz+YlWvTKYCYVZURmgOBKyBAxPlGXn","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6104","PgEcW/FjyLiXMkUG/rWQCDREMUNXRTiSAZDKRsT","zxfqjQKtuslWOjZZShbNWYkBseDllFicIDtvyNj"
"zXQnaXrVSZWiTWESZpToKl+IQnfmsLQuYWOXIXl","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6501","i/VgvxgjvwxWNxsZYYhIDA/ERVTYUCRUSVkykcF","dINYXAgVlyURqWOppRUURoxLvSybKCrDQUugfWI"
"AUtjvGfVJVxuBIUYeT+dIRMOpYHUJj+zFQSWnFg","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6104","RYqhVSsTiJEWSXClOxAJloRMWgTWOaUSrJdXSZM","wFOqx+jywWSoZIbxCPOUWcFPfBnqqEUwBQLXSYR"
"WS/OhQ+TBSjvweVYeRfdBhHYAUtUwbFBKNnN/Pp","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","MWxWmvq/QIVzNxjvyiASXriSZSSEvW+llmtmpeg","WKkxKhLbmItVXXtUWOYFoUxseUlQmjU/IbvmmyZ"
"NSdFyPkWXlwwQyprlxVNdWQQMJakEVfFkoWqETQ","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","siVVQrjwDQuYiOXjF+xlcVzWFckOYTYfTZoSKLM","AzRTRBRORqmRkSliRlYPxOITRiNYsnFGxyvQIYQ"
"w/YfWXKiWss/S/JQZDTUmZ+uzwETzlwNtugSkZn","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","IyJvkXQrYuJWWXlpXQTcey/lrYWq/jvQ+YTWBdf","WsNPvWVj/OcRaCbJkClSXrmULcCVWXUDawUIX/P"
"tpae/miweVdTQRVRXxZBMZcjdIauDIRYFvONmZe","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","hToYtUtzMKUyUliUAQvUMcjTLaCjqFQqPuVwUzI","WdwNhRAFNRqSmbWygZTmtsrQG/dfPznZZQeTHYN"
"/mMuREuVoUEoISELdahFvYUp+GAQQMwsWYScuUT","ALLG",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C6106","ecyEJoGAZKhRQGxLWOx/MSESEUgNOhTRswYGmtZ","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"eXxwZijzxTeceu/dA+ZcXuNrSpXE/zDCZ+RPYpT","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","YvjyaROJgXLTQxuDQXBXmbWro+JTN+RzGQ/naYr","iaOXZUUZDTodRgvKSfPeWMW+LDwvUOFURTnSUJh"
"UpTHeXjvTTOTwVTlqYi/vIYZYSwhMRZTWCaKWnQ","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","wopfSZUXBeerxMlSJRLCm/FbIezu/uvQdIZ/bWu","uJmiIkVKBjkyTYbUsrm+AQZSDSQkLblPnsHnOeY"
"MUF+kRN/vRIVVtgtDbvhcbfWbCqEuvgSUTgSXtd","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","zoJOMVimBRwYZqqRmwEaSSOEsNjcZkYsEcbxIMW","NUGkNSDHiYNXQUQahimrpvfNhofXrOojVTeGnRO"
"uNRiZZXG/QWIBKXSNQRZYGgaRysYQBpUENQfOdG","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","YkNigIZhKWXFQfwY/SfHXveikRjAzMrSSyCcYGS","UUlGIxVyKs/hVIVWknuUvphGTzSwWglYfZSBdYj"
"QmjoGZTDgylCoBRG+kSsJgyMQSXRORneucSeRIm","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","QAssNTVaVZSkUgkBYwGgXcZekTWAvEUQizotiPl","SNWBQnjivdQhpfWoVieYvWSFCpGMvofLB/repDd"
"LmhvvdeGfbWVBYSrSsZbROSYVVQuQSlXVKnDGrO","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","xSZXBTKHTdWYOYkFdVfDeBXMyQNiNARWOpSBoPr","uajCpgtFxxfwy/i/OSzjZPyltRbvTXyZAJmoD/c"
"hMWpoUSgyCzLUWUvsAvndWaTiuJdI+yfSuGNgcv","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","MyhalUYVYUQUrfvRwTVUhFyUVAQZnhXjCfhAQbQ","laNAtzlpLQxhouYElUXpBLqmXQSaLscjolXNQiI"
"NkZFsMvWfSVIEpWAxSOlukUhpSgpXqihVf+NFDZ",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09C4011","FYQHQYDnnWStShZP+vUSBSTNfVEbaOysLNGJUEW","ZfyHIunCaB/fqEo+Rj+ylcKAEnmNPDQrDsQGaJV"
"mVxwUWyMuGTBYEMQOAHXBiiQSinBOKxVaSyxaOT","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","TnGRxQTcJhJuzXaXdFUUoYlSOTWeBTaPFQZXNhm","iuOfyRQJSFRk/BQBpmARvHRqXdTUcHFNXaguEjD"
"fJmdcXFDzgEnZypLUjCBeThkcZyAYzZIWGUPYiw",,2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09C4011","UJpZYnQYCQLMJg++cdC/nTxQCwNSWUuZUZUN+ZW","kVrTHcuiZtmBEeNnVWRbJSRfarfXuEMtSRakuuE"
"BsRVRMRTqnXtbZPSuSTRUMEUYbaEet+sUdioQwR","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1631","GHzfSarnPLjiJkg+hayTzXqNyRPhDowlYzawQSS","ZTyeVotUkRpRKJBdbpvsMubvRSqYymSfyLNXoub"
