HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"RLVJyX/npacVDqLpSaXYgXhYfomAdwYxiRGCmbd","TLPxw/oaEJTQSYEGWfZYivPXijEUQOQoGjFoNiM","J09D3012","J09D_J","nTfycWrUTwZupFpTNtvZOXHiWuWZfZMbVBvNwWW","Hagen","Hohenlimburg","17","58119","TLjQSGMRCfWcZnlESUcuzrr/ribqqWYvXTFwcsb","EVU","Standard nach Anzahl Stromzähler"
"xQRy+gspQSYNCZYWuDoGJdnGzVGWUVtmkftttYE","YuYnBNSHVCNUf/QQHveRYyNsFIVrmntsUQSwOyA","J09D3013","J09D_J","JnNdYpyQcjXKbYPLTYZsrvQotmReUXEYTbXrSNF","Hagen","Hohenlimburg","1","58119","B/woJjlTZxEaQut+yGaMLCGQQzfhdqsFx+ALksQ","KSA","Standard nach Anzahl Stromzähler"
"sSSKUOxOom/QmjzrlPZKtBYdEvFZWVWbdPdBQFM","zgOQHrQTGcYynUreANDCrPEzyUHWMSAzEJaUDZO","J09D3012","J09D_J","QgQlcrLuMDJNDbEZgBl+GWSTBkHPVUxomfpBEvf","Hagen","Hohenlimburg","55","58119","PkfzyzgDQnYRAoYZXEReFNfXFIVYmhhKeqFDN+l","EVU","Standard nach Anzahl Stromzähler"
"TRYVKKaQVYQYrMxioNYXmMNfcordenkBzcXbOjU","xbZrnpyVvgw/DUhdrNjpXzUdkpcCoiTUfppvzU/","J09D4011","J09D_L","YpIMUTXRUVvItTRdhwfAtWUhQnHcRNyDgerBFAe","Lüdenscheid","Brügge","10","58515","QbvceVPPBJaryRiVTCnKTRyQxdKSVmSwXOiYNnG","EVU","Standard nach Anzahl Stromzähler"
"D/f/ckqilZvyVDMTsR+EQJmRZWsqVSbVASLzPHi","UfRWSBYOLczXIQACutqZBrYmrQpLWSnPPaVsyfd","J09D3301","J09D_J","jtWZcdFpuSURC+ZlHYyYzy/TRsPvjcm+GqoytZk","Hagen","Garenfeld","6","58099","PyeZJDWfpLTaTETLYUeZyleaYVFdfYUjRIWSaXz","KSA","Standard nach Anzahl Stromzähler"
"lIYUP+emXWwCtLBEpGTofV+XUNVYwOAZxGQzXuj","r/TPjWZhCYJIYXEkfMYgADhvncFVAnRioEaXRgh","J09D6242","J09D","gTVgYlUjOjTWuWRZeo/TFKBAVsnZ+jjXVYADYTV","Plettenberg","Holthausen","11","58840","vDXdKgPdld/RbMvItNyepBkjJMXXNAOUovqKPIe","KSA","Standard nach Anzahl Stromzähler"
"dwZxC+aXLQuVUHnVVCnrbWhxaS/GRToKyBU/ORI","oZeNSJVOITkYdDOCRNfjoJwJUNX+YQRVSwytklQ","J09D7022","J09D","DUT+GXxCriZDjpXrQJlXHpzSFVTpVtZODKTQy+C","Herdecke","Ende","140","58313","vVhj/RL+TMYhyzxWJtDfwuObQWS+cpFYMiVtRlv","KSA","Standard nach Anzahl Stromzähler"
"JfUjQ+UTcKCOhcAOCDhcYdgdn/SgrBsxXfUzZag","tOAdEgieYwQFcNQRVRLrRdhMyzYRneCnDRUQTWS","J09D3011","J09D_J","DUTEkXRnaMcg+yJXAiZMMdGfydAswLBdFiuTLtU","Hagen","Hohenlimburg","87","58119","HVVAMKdg+YQWjTgjjboYkuqrlJ/hFqWDnVV/Sbf","KSA","Standard nach Anzahl Stromzähler"
"TnTXwyiD/chQ/XjsaeryVWhCDJJlOfmCwGHYOii","CGTVAOOpZZWWbYyTIAgZznQXvwaZRNhaxhhHZQU","J09D4011","J09D_L","ldhJUlLTvnWisxzlQQrWtlpfThfidZYtPukYQGs","Lüdenscheid","Brügge","16","58515","INaSoSSVdjjsgqNdgdNfmPcdakSedcUYTZYwUMv","EVU","Standard nach Anzahl Stromzähler"
"TywHIduREnsZgvpzQseWVObTTK/ddPbjypJVYqa","cSCmUTjIB/ZTVgKIvOwNGYNPkjUhRLSevlFRCxS","J09D4011","J09D_L","Zzi/AdgeAInncLCYqXIvLivlecnysDdKiMiSjbL","Lüdenscheid",,"47","58509","HEAXojUnJvpXoGYfmZ+QaeBcrVYmZxVCNqcNcF+","EVU","Standard nach Anzahl Stromzähler"
"EHkhcPVihQNKCGFsQX+VeYiyYZQPZAPhZsYZaaq","LZYTYurQmFSUmRJZHTtEbvyiUXYmGNMYqGOBiyl","J09D7025","J09D","MiZCmmovnOlUK/DnNOXLXbUMlyJDTZvezCaYwXh","Herdecke","Ende","132","58313","TvKqslW+IIZjRaQhheqkoszTlNnzwhJaiKbimQS","KSA","Standard nach Anzahl Stromzähler"
"QgLAnSqaFDUklsTvPSXPJEeWMxjoZXZCj/WzDhH","WizDdVQEvfUQQfvKSgaiiTQSKKjmYnYorEQiUTy","J09D7023","J09D","fLWdsSZT+QOyIgfuBoNV+TdjLHOZRbtwaRDdFpw","Herdecke","Ende","30","58313","rNAr//QTVqYMYpTYXNiJMgtDUmMqkmJVStblYzb","EVU","Standard nach Anzahl Stromzähler"
