HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"ZqSb+a/peWwbJgUSYYeDBhMLCPnTXStUmAZlJus","YwzOssFOSUptVWWDQhFSSAhQMNfGDkL+FgjnorP","J09A5402","J09A","wWUTV/dcVDXjnTUgQZsTkZQMSJdUOTEMSVpLkkS","Halver","Halver","81","58553","/kNUkcVQPBgUauWVizk/YSVxJTKnSzkVxBCcvih","EVU","Standard nach Anzahl Stromzähler"
"ZotJVYS+YgXXSTDfPXTbK+uZGm/bVsnUmRfUuRV","HdfUVEzZ/be/UvIBU/dFrscSKcxOUFJEIsMi/xJ","J09A5013","J09A","GfzTRDcdaBwpGnLoDERlnNRBHYJw/TEhZNt+DMI","Altena","Altena","22","58762","dyZCUHHgjVpJbVuGbX/SxfnnMmOhBVZkPHfS+Xw","EVU","Standard nach Anzahl Stromzähler"
"NaAbKGgmBOphDLTxjKH+xpTlXRyQExWWmrsaLGA","YhPwnrQReEwVBnkuxNlWjYRUI+SwsVKrQAJSPTK","J09A5403","J09A","zUGVwnFtBaITgZXmcwp+kjUUX+wKllgZPlbixJs","Halver","Halver","34","58553","jLCAVsZfjzVbSxWiSLZZuqJcjxIPwqbf/nmUMAo","KSA","Standard nach Anzahl Stromzähler"
"aKAORQijbDHOXjvbtwiEOhImLA+nTWisSdSSMxp","cTpYlIdQVzYyb+VVTEYOnWDTiAsZdS/N+WZTKR+","J09A6102","J09A","nloORZumQelHxTUpDEEDeOvYJQRiElSw+alI/Na","Neuenrade","Neuenrade","6","58809","R+hIRU/SrkWO+WMBrRVsWVMmZovgDckhRyySTCx","KSA","Standard nach Anzahl Stromzähler"
"JCdKEYXTiOFTZWwUYVZwCMchhqyPqeehtXqZzJQ","lUiLpFyXkFUaOxTlVJVTeTVpTdZUZmPBQLXNgQP","J09A1701","J09A_J","vRObtEWTobsJCrXUTDdXspLpTYTmhPmURK+rjwS","Hagen","Vorhalle","14","58089","LOe+IwTVHh/wXpljbTmvzhWgWCSBUZyUuOsiWSU","EVU","Standard nach Anzahl Stromzähler"
"WSQQDImpnUTENjjnCSiTJTHLUvzZNpWTFGZcqst","MLWNDvIeMTEGDJwcqKgwUzXQMlsRBRPQMreZLZM","J09A5402","J09A","AqTffoMhVJZeYcBZql+PWxZxDNrBbasnOTxKiZy","Halver","Halver","12","58553","QQzWBAZ/GCZLVvoVY+QXOmdjnQWtszHEepSsfTQ","KSA","Standard nach Anzahl Stromzähler"
"jEBedQcLMZGKhOtYVilGOUPlYYVdWmiZYXPi/CQ","fXgTnjXXEhqGLdfkjdVYeRNjfUqWxkgtrWqesip","J09A1704","J09A_J","zzuREmhcPNPNiW+eWa+KYhagMDbQozkeCfKXBaD","Hagen","Vorhalle","2","58089","'+wFCvOxCesoFVVLWDYTZXRcWWYETLDEgRnHKHNl","KSA","Standard nach Anzahl Stromzähler"
"TSwZQRkQTkUZKTDmQssZdSuFQjn/tgMnEiTnLiA","GYnSYWnxIoTXhWVpbdQOtlZwKYOC+maYWQSH/JQ","J09A5401","J09A","sUZnjMvjQcVYTxMawmigOvUsXUZo+XJOePCrYXT","Halver","Halver","16","58553","sZ/RVVFGWDlpWKCFhfmRKrlMHYXTBFRfqfFUqMC","KSA","Standard nach Anzahl Stromzähler"
"FrbeVFAXflxtzfCPtORLVcaVjSmUKWMHnDNkIFy","SVwVmwVSOSTbRVgLRpEYUYJVwVpgXgQQ/XBEXMA","J09A6104","J09A","NfmJYkRGUDXAUAtuxyYdsPu/hUDLpTKHMLTHKLR","Neuenrade","Neuenrade","19","58809","VhPCVSQZuzLZhrzLbtezLmdegoQVgrBboRyTqmm","EVU","Standard nach Anzahl Stromzähler"
"iSmPn+vAafCgUAceWzgawfKp/pBXNQmedtMQVZz","raVWWXpm+RzRJoWCKggR/UJdGsXSyYyXugRMQFD","J09A1704","J09A_J","dPJAzYUQOG+l+TMmUUWXUZOZPPKySABXSudMRAO","Hagen","Vorhalle","8","58089","BxSxNotruSLWnjGcovizReNeKXkIKOSyywdoiGh","EVU","Standard nach Anzahl Stromzähler"
